"DateTime","Final price","Historical low"
"2015-06-22 18:12:57",19.99,3.99
"2015-11-10 18:05:58",4.99,3.99
"2015-11-16 18:05:31",19.99,3.99
"2015-11-25 18:24:05",3.99,3.99
"2015-12-01 18:39:39",19.99,3.99
"2015-12-22 20:36:27",3.99,3.99
"2016-01-04 19:21:29",19.99,3.99
"2016-02-05 19:31:43",3.99,3.99
"2016-02-12 18:47:18",19.99,3.99
"2016-06-23 21:50:41",4.99,3.99
"2016-07-04 17:29:32",19.99,3.99
"2016-09-29 17:03:04",4.99,3.99
"2016-10-03 17:12:13",19.99,3.99
"2016-11-23 20:34:28",3.99,3.99
"2016-12-02 14:33:18",19.99,3.99
"2016-12-22 19:39:40",3.99,3.99
"2017-01-02 18:17:50",19.99,3.99
"2017-06-22 17:36:47",1.99,1.99
"2017-07-05 17:16:05",19.99,1.99
"2017-11-22 18:45:44",1.99,1.99
"2017-11-28 18:15:38",19.99,1.99
"2017-12-21 18:08:41",1.99,1.99
"2018-01-04 18:32:58",19.99,1.99
"2018-02-15 18:08:31",1.99,1.99
"2018-02-19 18:18:51",19.99,1.99
"2018-06-21 17:26:10",1.99,1.99
"2018-07-05 17:19:31",19.99,1.99
"2018-07-14 00:50:15",9.99,1.99
"2018-11-21 18:53:26",1.99,1.99
"2018-11-21 20:33:04",1.99,1.99
"2018-11-27 20:44:10",9.99,1.99
"2018-12-20 18:06:24",1.99,1.99
"2018-12-20 21:29:45",1.99,1.99
"2019-01-03 18:58:07",9.99,1.99
"2019-02-04 18:10:22",1.99,1.99
"2019-02-11 21:03:13",9.99,1.99
"2019-06-25 17:44:00",0.99,0.99
"2019-07-09 17:59:38",9.99,0.99
"2019-11-26 18:09:47",0.99,0.99
"2019-12-03 18:12:57",9.99,0.99
"2019-12-19 18:05:28",0.99,0.99
"2020-01-02 18:15:03",9.99,0.99
"2020-06-25 17:13:40",1.99,0.99
"2020-07-09 17:29:49",9.99,0.99
"2020-10-29 17:04:27",1.99,0.99
"2020-10-29 17:45:03",1.99,0.99
"2020-10-29 19:01:14",1.99,0.99
"2020-10-30 06:09:29",1.99,0.99
"2020-10-31 18:19:40",1.99,0.99
"2020-11-02 18:26:02",9.99,0.99
"2020-11-25 18:08:50",1.99,0.99
"2020-12-01 18:21:01",9.99,0.99
"2020-12-22 18:14:28",1.99,0.99
"2021-01-05 19:17:35",9.99,0.99
"2021-03-25 17:50:12",1.99,0.99
"2021-03-29 17:10:14",9.99,0.99
"2021-06-24 17:33:31",1.99,0.99
"2021-07-08 17:33:34",9.99,0.99
"2021-11-24 18:01:23",1.99,0.99
"2021-11-24 18:07:27",9.99,0.99
"2021-11-24 18:12:55",1.99,0.99
"2021-12-01 18:20:09",9.99,0.99
"2021-12-22 18:01:28",1.99,0.99
"2022-01-05 18:20:12",9.99,0.99
"2022-01-27 18:21:23",1.99,0.99
"2022-02-03 18:21:23",9.99,0.99
"2022-06-23 17:07:59",1.99,0.99
"2022-07-07 17:21:26",9.99,0.99
"2022-11-22 18:17:00",0.99,0.99
"2022-11-29 18:21:25",9.99,0.99
"2022-12-22 18:08:10",0.99,0.99
"2023-01-05 18:27:56",9.99,0.99
"2023-02-27 18:24:53",0.99,0.99
"2023-03-06 18:24:36",9.99,0.99
"2023-03-16 17:33:10",0.99,0.99
"2023-03-23 17:21:17",9.99,0.99
"2023-04-24 17:21:17",0.99,0.99
"2023-05-01 17:25:33",9.99,0.99
"2023-06-29 17:24:56",0.99,0.99
"2023-07-13 17:21:17",9.99,0.99
"2023-08-03 17:01:17",0.99,0.99
"2023-08-10 17:05:03",9.99,0.99
"2023-09-12 17:01:17",0.99,0.99
"2023-09-19 17:01:19",9.99,0.99
"2023-11-21 18:08:18",0.99,0.99
"2023-11-28 18:26:22",9.99,0.99
"2023-12-21 18:06:32",0.99,0.99
"2024-01-11 18:01:20",9.99,0.99
"2024-02-12 18:21:18",8.23,0.99
"2024-02-19 18:21:18",9.99,0.99
"2024-03-14 17:14:48",0.99,0.99
"2024-03-21 17:26:18",9.99,0.99
"2024-05-01 17:01:19",2.79,0.99
"2024-05-15 17:01:20",9.99,0.99
"2024-05-23 17:01:18",8.23,0.99
"2024-05-30 17:01:18",9.99,0.99
"2024-06-27 17:49:39",0.99,0.99
"2024-07-11 17:26:20",9.99,0.99
"2024-09-04 04:36:50",9.99,0.99
"2024-09-04 04:36:50",,0.99
